id,fase,pata,fase_conf,notas,etiquetador,fecha_etiqueta,torre,fecha,archivo
2026-09-22_0468a140f4,excavación,,0.5,,claude-vision,2026-09-26,T15,2026-09-22,2026-09-22/2026-09-22_0468a140f4.jpg
2026-09-22_05e5c8f4b2,encofrado,,0.6,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_05e5c8f4b2.jpg
2026-09-22_0850453f75,excavación,,0.85,,claude-vision,2026-09-26,T12,2026-09-22,2026-09-22/2026-09-22_0850453f75.jpg
2026-09-22_12cfda064e,excavación,,0.9,,claude-vision,2026-09-26,T12,2026-09-22,2026-09-22/2026-09-22_12cfda064e.jpg
2026-09-22_18dac8d231,vaciado,,0.8,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_18dac8d231.jpg
2026-09-22_1b3ac41f7c,stub,,0.85,,claude-vision,2026-09-26,T15,2026-09-22,2026-09-22/2026-09-22_1b3ac41f7c.jpg
2026-09-22_1e9191c752,excavación,,0.8,,claude-vision,2026-09-26,T07,2026-09-22,2026-09-22/2026-09-22_1e9191c752.jpg
2026-09-22_1f4e91f460,stub,,0.85,,claude-vision,2026-09-26,T15,2026-09-22,2026-09-22/2026-09-22_1f4e91f460.jpg
2026-09-22_255d087411,encofrado,,0.9,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_255d087411.jpg
2026-09-22_257b77c6f0,,,,,,,T12,2026-09-22,2026-09-22/2026-09-22_257b77c6f0.jpg
2026-09-22_26d056bab4,,,,,,,T12,2026-09-22,2026-09-22/2026-09-22_26d056bab4.jpg
2026-09-22_2b643ce7e3,excavación,,0.6,,claude-vision,2026-09-26,T12,2026-09-22,2026-09-22/2026-09-22_2b643ce7e3.jpg
2026-09-22_3237aac3f0,excavación,,0.7,,claude-vision,2026-09-26,T12,2026-09-22,2026-09-22/2026-09-22_3237aac3f0.jpg
2026-09-22_37d8c776ad,,,,,,,T12,2026-09-22,2026-09-22/2026-09-22_37d8c776ad.jpg
2026-09-22_41b4df70c0,vaciado,,0.8,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_41b4df70c0.jpg
2026-09-22_4bf20bbbdb,otro,,0.6,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_4bf20bbbdb.jpg
2026-09-22_50005f368d,excavación,,0.7,,claude-vision,2026-09-26,T12,2026-09-22,2026-09-22/2026-09-22_50005f368d.jpg
2026-09-22_555321cd64,vaciado,,0.7,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_555321cd64.jpg
2026-09-22_58cab09782,vaciado,,0.8,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_58cab09782.jpg
2026-09-22_6cb25018ce,vaciado,,0.8,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_6cb25018ce.jpg
2026-09-22_6dc711eb2c,stub,,0.85,,claude-vision,2026-09-26,T15,2026-09-22,2026-09-22/2026-09-22_6dc711eb2c.jpg
2026-09-22_70e5cdb570,,,,,,,T12,2026-09-22,2026-09-22/2026-09-22_70e5cdb570.jpg
2026-09-22_728ef2e86f,stub,,0.6,,claude-vision,2026-09-26,T15,2026-09-22,2026-09-22/2026-09-22_728ef2e86f.jpg
2026-09-22_78059220fc,stub,,0.85,,claude-vision,2026-09-26,T15,2026-09-22,2026-09-22/2026-09-22_78059220fc.jpg
2026-09-22_780a23a971,,,,,,,T07,2026-09-22,2026-09-22/2026-09-22_780a23a971.jpg
2026-09-22_94a481cf4f,,,,,,,,2026-09-22,2026-09-22/2026-09-22_94a481cf4f.jpg
2026-09-22_97d495795a,,,,,,,,2026-09-22,2026-09-22/2026-09-22_97d495795a.jpg
2026-09-22_9babc13e7e,,,,,,,T12,2026-09-22,2026-09-22/2026-09-22_9babc13e7e.jpg
2026-09-22_9f48dd6c2f,otro,,0.6,,claude-vision,2026-09-26,T12,2026-09-22,2026-09-22/2026-09-22_9f48dd6c2f.jpg
2026-09-22_a060c93b16,,,,,,,T07,2026-09-22,2026-09-22/2026-09-22_a060c93b16.jpg
2026-09-22_a2d9d96a6b,,,,,,,T12,2026-09-22,2026-09-22/2026-09-22_a2d9d96a6b.jpg
2026-09-22_a76ae77689,,,,,,,T21,2026-09-22,2026-09-22/2026-09-22_a76ae77689.jpg
2026-09-22_b43bc2568b,vaciado,,0.8,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_b43bc2568b.jpg
2026-09-22_bdf6e7b795,otro,,0.7,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_bdf6e7b795.jpg
2026-09-22_c4ff8f0fe9,encofrado,,0.9,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_c4ff8f0fe9.jpg
2026-09-22_c72d5d2a90,vaciado,,0.9,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_c72d5d2a90.jpg
2026-09-22_cbaf0fdbc0,stub,,0.85,,claude-vision,2026-09-26,T15,2026-09-22,2026-09-22/2026-09-22_cbaf0fdbc0.jpg
2026-09-22_cce4a1e13c,vaciado,,0.7,,claude-vision,2026-09-26,T21,2026-09-22,2026-09-22/2026-09-22_cce4a1e13c.jpg
2026-09-22_d5cae46886,,,,,,,T21,2026-09-22,2026-09-22/2026-09-22_d5cae46886.jpg
2026-09-22_e40920700c,,,,,,,T21,2026-09-22,2026-09-22/2026-09-22_e40920700c.jpg
2026-09-22_e4e7e124e0,excavación,,0.9,,claude-vision,2026-09-26,T12,2026-09-22,2026-09-22/2026-09-22_e4e7e124e0.jpg
2026-09-22_e9a4a28397,,,,,,,T07,2026-09-22,2026-09-22/2026-09-22_e9a4a28397.jpg
2026-09-22_ea06d2c88d,,,,,,,T21,2026-09-22,2026-09-22/2026-09-22_ea06d2c88d.jpg
2026-09-22_eb6caefdf7,excavación,,0.8,,claude-vision,2026-09-26,T07,2026-09-22,2026-09-22/2026-09-22_eb6caefdf7.jpg
2026-09-22_f340bfa93a,,,,,,,T07,2026-09-22,2026-09-22/2026-09-22_f340bfa93a.jpg
